timestamp,open,high,low,close,volume
2023-01-03,150.51,152.19,149.59,151.24,47794084
2023-01-04,150.87,152.16,149.73,151.05,42038680
2023-01-05,152.85,153.72,151.24,152.65,69641213
2023-01-06,155.8,157.08,155.67,156.3,66359901
2023-01-09,156.1,157.32,153.92,155.88,60621380
2023-01-10,156.36,157.21,153.48,155.45,80740778
2023-01-11,158.76,159.52,158.64,159.31,44249933
2023-01-12,160.23,162.13,158.13,161.28,41047237
2023-01-13,159.68,160.69,157.72,160.28,68302428
2023-01-16,162.41,164.79,160.82,161.72,47984779
2023-01-17,161.53,164.12,159.59,160.72,56740813
2023-01-18,159.31,162.22,157.01,159.73,59304731
2023-01-19,161.11,161.47,158.08,160.44,62736356
2023-01-20,155.54,158.47,154.42,156.03,40487694
2023-01-23,151.01,153.14,148.32,152.16,82777321
2023-01-24,151.28,152.25,150.33,151.01,54789904
2023-01-25,149.42,151.22,147.06,148.85,44104274
2023-01-26,148.85,150.74,147.97,149.67,79946688
2023-01-27,147.19,148.07,146.01,147.77,67819812
2023-01-30,144.39,145.48,144.23,144.78,76983702
2023-01-31,147.15,148.41,144.87,148.12,56842185
2023-02-01,148.23,149.71,146.2,147.74,73902018
2023-02-02,147.35,149.25,146.43,148.01,59089990
2023-02-03,143.94,146.37,143.82,144.99,61089728
2023-02-06,143.61,144.12,143.03,143.93,73572019
2023-02-07,145.2,146.01,143.65,144.28,79086960
2023-02-08,142.48,142.59,140.77,141.93,41942196
2023-02-09,142.92,145.52,142.56,142.84,64923442
2023-02-10,141.74,143.52,139.72,141.68,60454347
2023-02-13,141.34,143.19,140.98,141.17,52643343
2023-02-14,141.07,142.35,138.3,140.01,52482153
2023-02-15,144.03,144.54,143.33,144.07,43498058
2023-02-16,145.54,147.54,142.6,144.16,53928742
2023-02-17,142.46,142.94,139.77,142.0,77014175
2023-02-20,144.51,146.25,142.67,143.88,81972781
2023-02-21,140.23,141.55,139.21,141.38,76474899
2023-02-22,140.96,143.65,139.83,141.94,83646147
2023-02-23,138.76,139.96,136.87,137.94,52303318
2023-02-24,135.62,136.28,134.54,135.33,84848657
2023-02-27,136.32,138.04,134.28,135.84,51130664
2023-02-28,136.86,139.01,135.84,137.46,50288926
2023-03-01,138.17,138.98,137.6,137.92,70220793
2023-03-02,138.28,139.24,136.28,137.79,64835807
2023-03-03,137.98,138.78,136.95,137.28,41295220
2023-03-06,134.64,136.22,133.83,134.38,46136716
2023-03-07,132.94,133.49,132.61,133.04,59686371
2023-03-08,131.86,133.54,129.92,132.23,57844425
2023-03-09,135.15,136.99,134.09,134.45,81696443
2023-03-10,134.85,136.08,133.21,135.26,62167814
2023-03-13,132.01,132.4,131.64,131.83,45799587
2023-03-14,132.26,132.79,131.64,132.58,48184603
2023-03-15,132.46,133.15,130.99,131.92,47754394
2023-03-16,130.22,130.95,129.86,130.69,47965471
2023-03-17,131.69,132.44,131.44,132.0,56392143
2023-03-20,134.49,134.65,132.8,134.17,68255517
2023-03-21,136.48,137.27,136.02,136.17,52459494
2023-03-22,135.14,135.65,134.01,134.57,56671244
2023-03-23,134.25,134.92,133.24,134.05,73636192
2023-03-24,134.64,135.39,133.96,134.83,63025484
2023-03-27,136.23,137.78,135.23,136.93,50911172
2023-03-28,135.9,136.18,135.44,136.05,49515160
2023-03-29,135.27,136.99,134.43,135.79,70559604
2023-03-30,133.65,133.94,132.4,133.66,66407850
2023-03-31,131.24,131.74,130.57,131.39,56338703
2023-04-03,133.24,134.0,131.17,133.1,67259866
2023-04-04,135.48,136.21,135.12,135.95,47230661
2023-04-05,135.68,136.18,134.72,135.91,43610518
2023-04-06,137.92,139.83,137.63,138.08,57903501
2023-04-07,139.94,142.17,138.17,138.94,47689941
2023-04-10,138.6,139.8,136.49,137.72,52599059
2023-04-11,137.86,139.38,136.82,138.57,62842467
2023-04-12,141.45,142.71,141.03,141.92,66155719
